umap	assay_id	description	exposure_hrs	variant	comment	comment_type
-8.151718802	854596	Antagonist activity at human Smo expressed in CHO cells assessed as inhibition of BODIPY-cyclopamine binding after 4 hrs by fluorescence assay	4			
-8.075534148	2184935	Inhibition of wild type Smo (unknown origin) expressed in mouse C3H 10T1/2 cells cotransfected with Gli reporter gene assessed as Gli luciferase activity by dual luciferase assay				
-7.990691182	2021990	Cytotoxicity against human C-33-A cells				
-7.981345636	83757	In vitro anticancer activity against human hepatocellular HepG2 cells				
-7.937172001	452821	Cytotoxicity against SiHa cells under hypoxic condition after 4 hrs	4		under hypoxic condition 	condition
-7.895137058	452286	Cytotoxicity against human SiHa cells under hypoxic conditions after 4 hrs	4		under hypoxic condition 	condition
-7.895137058	537756	Cytotoxicity against human SiHa cells after 4 hrs under strict hypoxic condition	4		under hypoxic condition 	condition
-7.834770918	1784566	Antioxidant activity in human HepG2 cells assessed as inhibition of ABAP-induced peroxyl radical generation incubated for 60 mins measured for 60 mins by DCFH-DA probe based fluorescence assay			Antioxidant activity	specific goal
-7.809144072	1784567	Antioxidant activity in human HepG2 cells assessed as inhibition of cumene hydroperoxide-mediated lipid peroxidation incubated for 60 mins followed by cumOOH addition for 60 mins measured for 60 mins by C11-BODIPY probe based fluorescence assay			Antioxidant activity	specific goal
-7.774688625	2021989	Cytotoxicity against human SiHa cells				
-7.745469081	767695	Antagonist activity at human SMO expressed in HEPM cells assessed as reduction of GLI expression after 24 hrs by Quantigene assay	24			
-7.739688984	643731	Antagonist activity at human Smo receptor in HEPM cells assessed as inhibition of Gli expression after 24 hrs by quantigene assay	24			
-7.646132322	2185473	Anticancer activity against human Ca-Ski cells assessed as inhibition of cell growth by Sulforhodamine B colorimetric assay				
-7.533651179	597740	Cytotoxicity against human SiHa cells in hypoxic condition after 4 hrs by sulforhodamine B assay	4		under hypoxic condition 	condition
-7.492176634	597739	Cytotoxicity against human SiHa cells in oxic condition after 4 hrs by sulforhodamine B assay	4			
-7.4585601	921881	Cytotoxicity against human HepG2 cells after 72 hrs by XTT assay	72			
-7.373900169	2061637	Cytotoxicity against human HepG2 cells assessed as reduction in cell viability at 10 uM measured after 24 hrs by MTT assay relative to control	24		relative to control	potential not absolute value
-7.319421031	2264649	Anticancer activity against human HepG2 cells assessed as cell growth inhibition incubated for 24 hrs	24			
-7.319421031	2283019	Anticancer activity against human HepG2 cells assessed as cell growth inhibition incubated for 24 hrs	24			
-7.247678239	2284848	Anticancer activity against human Ca-Ski cells assessed as inhibition of cell growth				
-7.212243931	805288	Cytotoxicity against human HepG2 cells after 24 hrs using crystal violet staining by microplate reader analysis	24			
-7.122206142	885474	Cytotoxicity against human HepG2 cells after 72 hrs by crystal violet staining based microplate reader analysis	72			
-7.041054737	1758669	Cytotoxicity against human SiHa cells assessed as reduction in cell viability measured after 48 hrs by SRB assay	48			
-6.996185855	2185637	Anticancer activity against human HepG2 cells assessed as cell growth inhibition				
-6.996185855	2237385	Anticancer activity against human HepG2 cells assessed as inhibition of cell growth				
-6.996185855	2302203	Anticancer activity against human HepG2 cells assessed as cell growth inhibition				
-6.996185855	2304224	Anticancer activity against human HepG2 cells assessed as inhibition of cell growth				
-6.953958909	833668	Antitumor activity against human HepG2 cells by SRB method				
-6.934072936	2058111	Antiproliferative activity against human HepG2 cells assessed as reduction in cell viability incubated for 72 hrs by CCK8 assay	72			
-6.891495644	2310779	Antitumor activity against human HepG2 cells assessed as cell growth inhibition				
-6.889583261	1852300	Cytostatic activity against human HepG2 cells preincubated for 24 hrs under serum free condition followed by compound washout and further incubation for 48 hrs in presence of serum by MTT assay	48			
-6.851033997	473813	Antitumor activity against human HepG2 cells				
-6.851033997	685613	Antitumor activity against human HepG2 cells				
-6.851033997	2284915	Antitumor activity against human HepG2 cells				
-6.794409657	1853166	Anticancer activity against human HepG2 cells assessed as inhibition of cell proliferation				
-6.794409657	1990913	Anticancer activity against human HepG2 cells assessed as inhibition of cell proliferation				
-6.792392274	2288494	Antitumor activity against human C33A cells assessed as cell growth inhibition incubated for 3 days	72			
-6.789784141	2185656	Anticancer activity against human HepG2 cells				
-6.789784141	2274590	Anticancer activity against human HepG2 cells				
-6.789784141	2275393	Anticancer activity against human HepG2 cells				
-6.789784141	2275645	Anticancer activity against human HepG2 cells				
-6.789784141	2284859	Anticancer activity against human HepG2 cells				
-6.789784141	2304252	Anticancer activity against human HepG2 cells				
-6.724069027	696210	Antidyslipidemic activity in human HepG2 cells assessed as inhibition of cholesterol esterification			Antidyslipidemic activity	specific goal
-6.719224318	2275713	Anticancer activity against human HepG2 cells assessed as inhibition of cell viability				
-6.584636059	2114362	Antiproliferation activity against human HepG2 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay	72			
-6.513213533	2275720	Anticancer activity against human HepG2 cells assessed as reduction in cell viability				
-6.513213533	2283031	Anticancer activity against human HepG2 cells assessed as reduction in cell viability				
-6.456131601	2028248	Anticancer activity against human HepG2 cells assessed as reduction in cell viability by MTT assay				
-6.428593439	466594	Antiproliferative activity against human HepG2 cells				
-6.428593439	1522589	Antiproliferative activity against human HepG2 cells				
-6.428593439	1578981	Antiproliferative activity against human HepG2 cells				
-6.428593439	1763785	Antiproliferative activity against human HepG2 cells				
-6.428593439	1801566	Antiproliferative activity against human HepG2 cells				
-6.428593439	1806485	Antiproliferative activity against human HepG2 cells				
-6.428593439	1827377	Antiproliferative activity against human HepG2 cells				
-6.428593439	1849509	Antiproliferative activity against human HepG2 cells				
-6.428593439	1919976	Antiproliferative activity against human HepG2 cells				
-6.428593439	2116068	Antiproliferative activity against human HepG2 cells				
-6.428593439	2185724	Antiproliferative activity against human HepG2 cells				
-6.428593439	2201410	Antiproliferative activity against human HepG2 cells				
-6.428593439	2238527	Antiproliferative activity against human HEpG2 cells				
-6.428593439	2266825	Antiproliferative activity against human HepG2 cells				
-6.428593439	2281643	Antiproliferative activity against human HepG2 cells				
-6.428593439	2285036	Antiproliferative activity against human HepG2 cells				
-6.418202917	1720985	Antiproliferative activity in human SiHa cells by sulforhodamine B assay				
-6.405935392	954606	SANGER: Inhibition of human SiHa cell growth in a cell viability assay.				
-6.402934213	2301135	Cytotoxicity against human C-33-A cells measured after 8 days	192			
-6.384840315	1544860	Antiproliferative activity against human HepG2 cells harboring N-Ras mutation		N-Ras mutation		
-6.37368287	741169	Antitumor activity against human HepG2 cells by WST-1 assay				
-6.346919452	571187	Induction of apoptosis in human HepG2 cells assessed as inhibition of cell viability after 24 hrs by MTT assay	24		apoptosis induction	mechanism
-6.315658602	954776	SANGER: Inhibition of human Ca-Ski cell growth in a cell viability assay.				
-6.314244043	954676	SANGER: Inhibition of human C-33-A cell growth in a cell viability assay.				
-6.310120735	2299825	Anticancer activity against human HepG2 assessed as IL-6 induced luciferase activity				
-6.285319368	1874599	Anticancer activity against human HepG2 cells by CCK8 assay				
-6.285025688	449541	Cytotoxicity against human SiHa cells by sulforhodamine B assay				
-6.264897275	2301334	Cytotoxicity against human HepG2 cells measured after 8 days				
-6.204769809	1980207	Antiproliferative activity against human HepG2 cells by CCK8 assay				
-6.099644176	1905981	Cytostatic activity against human HepG2 cells preincubated for overnight in serum free medium followed by compound wash out and further incubated for 72 hrs in presence of serum by MTT assay	84			
-6.014671408	603334	Antitumor activity against human HepG2 cells by MTT assay				
-6.014671408	1807702	Antitumor activity against human HepG2 cells by MTT assay				
-6.010088852	1298906	Anticancer activity against human HepG2 cells by MTT assay				
-6.010088852	1471672	Anticancer activity against human HepG2 cells by MTT assay				
-6.010088852	1874678	Anticancer activity against human HepG2 cells by MTT assay				
-6.010088852	1980214	Anticancer activity against human HepG2 cells by MTT assay				
-6.010088852	2045955	Anticancer activity against human HepG2 cells by MTT assay				
-6.010088852	2272099	Anticancer activity against human HepG2 cells by MTT assay				
-5.985022908	2015414	Cytotoxicity against human HepG2 cells after 3 days by microplate reader analysis	72			
-5.984912782	475940	Cytotoxicity against human HepG2 cells by SRB method				
-5.984912782	887081	Cytotoxicity against human HepG2 cells by SRB method				
-5.983571605	558944	Antiproliferative activity against human HepG2 cells by SRB assay				
-5.983571605	1842820	Antiproliferative activity against human HepG2 cells by SRB assay				
-5.921193882	2301681	Cytotoxicity against human HepG2 cells measured after 3 days	72			
-5.866541731	1875489	Cytotoxicity against human HepG2 cells assessed as reduction in cell viability incubated for 3 days by tryphan blue dye based assay	72			
-5.863692746	486943	Cytotoxicity against human HepG2 cells after 3 days	72			
-5.8037962	422784	Cytotoxicity against human HepG2 cells				
-5.8037962	443753	Cytotoxicity against human HepG2 cells				
-5.8037962	453485	Cytotoxicity against human HepG2 cells				
-5.8037962	454164	Cytotoxicity againt human HepG2 cells				
-5.8037962	458253	Cytotoxicity against human HepG2 cells				
-5.8037962	475694	Cytotoxicity against human HepG2 cells				
-5.8037962	505622	Cytotoxicity against human HepG2 cells				
-5.8037962	505668	Cytotoxicity against human HepG2 cells				
-5.8037962	524278	Cytotoxicity against human HepG2 cells				
-5.8037962	524961	Cytotoxicity against human HepG2 cells				
-5.8037962	531234	Cytotoxicity against human HepG2 cells				
-5.8037962	533388	Cytotoxicity against human HepG2 cells				
-5.8037962	550713	Cytotoxicity against human HepG2 cells				
-5.8037962	605963	Cytotoxicity against human HepG2 cells				
-5.8037962	610826	Cytotoxicity against human HepG2 cells				
-5.8037962	634047	Cytotoxicity against human HepG2 cells				
-5.8037962	766895	Cytotoxicity against human HepG2 cells				
-5.8037962	768811	Cytotoxicity against human HepG2 cells				
-5.8037962	794244	Cytotoxicity against human HepG2 cells				
-5.8037962	811633	Cytotoxicity against human HepG2 cells				
-5.8037962	841821	Cytotoxicity against human HepG2 cells				
-5.8037962	886599	Cytotoxicity against human HepG2 cells				
-5.8037962	934126	Cytotoxicity against human HepG2 cells				
-5.8037962	952477	Cytotoxicity against human HepG2 cells				
-5.8037962	955923	Cytotoxicity against human HepG2 cells				
-5.8037962	1347935	Cytotoxicity against human HepG2 cells				
-5.8037962	1364165	Cytotoxicity against human HepG2 cells				
-5.8037962	1432801	Cytotoxicity against human HepG2 cells				
-5.8037962	1434390	Cytotoxicity against human HepG2 cells				
-5.8037962	1508739	Cytotoxicity against human HepG2 cells				
-5.8037962	1574266	Cytotoxicity against human HepG2 cells				
-5.8037962	1684300	Cytotoxicity against human HepG2 cells				
-5.8037962	1731513	Cytotoxicity against human HepG2 cells				
-5.8037962	1824314	Cytotoxicity against human HepG2 cells				
-5.8037962	1863519	Cytotoxicity against human HepG2 Cells				
-5.8037962	1989998	Cytotoxicity against human HepG2 cells				
-5.8037962	2081749	Cytotoxicity against human HepG2 cells				
-5.8037962	2100326	Cytotoxicity against human HepG2 cells				
-5.8037962	2192079	Cytotoxicity against human HepG2 cells				
-5.8037962	2215125	Cytotoxicity against human HepG2 cells				
-5.8037962	2270695	Cytotoxicity against human HepG2 cells				
-5.8037962	2272583	Cytotoxicity against human HepG2 cells				
-5.8037962	2273402	Cytotoxicity against human HepG2 cells				
-5.8037962	2274170	Cytotoxicity against human HepG2 cells				
-5.8037962	2275915	Cytotoxicity against human HepG2 cells				
-5.8037962	2281590	Cytotoxicity against human HepG2 cells				
-5.8037962	2281918	Cytotoxicity against human HepG2 cells				
-5.8037962	2284860	Cytotoxicity against human HepG2 cells				
-5.8037962	2304247	Cytotoxicity against human HepG2 cells				
-5.744459791	83906	Cytotoxicity against human hepatoma Hepa-G2		Hepa-G2		
